"behavior","cluster_id","cluster_label"
"get on your knees and pray","8","to participate in religious practices"
"talk about your political beliefs","42","to discuss"
"dance with someone","45","to dance"
"wear a white dress","22","to wear"
"bring food or drink","1","to consume beverages"
"make a face","29","to engage in humorous activities"
"apply makeup","47","to use cosmetics"
"grinding your teeth","36","to use the mouth"
"keep your eyes closed","38","to look"
"have a romantic dinner","17","to engage in sexual activities"
"harm or injure another person","44","to touch someone"
"bring a pet inside","35","to interact with animals"
"swim","5","to be in water"
"go on a chairlift","4","to climb"
"go on a first date","10","to move around"
"wear a kirpan","22","to wear"
"lift heavy boxes","16","to interact with objects"
"loiter","10","to move around"
"look longingly into each other's eyes","38","to look"
"kneel or prostrate yourself","20","to sit"
"carry weapons","28","to bring items"
"wear dress shoes","22","to wear"
"take a shower without shower shoes","6","to manage clothing"
"ask to see your family","12","to ask for something"
"take your medication","15","to interact with others"
"wear a kanga","22","to wear"
"paint the walls","34","to engage with the art community"
"collect donations","15","to interact with others"
"enter the arena","33","to enter spaces"
"proselytize to residents","8","to participate in religious practices"
"put a bug in someone's drink","1","to consume beverages"
"check for id","23","to check"
"wear a skirt","22","to wear"
"dance the jitterbug","45","to dance"
"drink tequila","1","to consume beverages"
"move your feet","14","to use your hands"
"dance on home plate","45","to dance"
"leave your shoes on the floor","27","to lie on the floor"
"hear cases","23","to check"
"play with fire","0","to use fire"
"wash your hair","37","to style"
"disrupt a performance","9","to express negative emotions"
"attend a meeting","49","to interact"
"show your stomach","17","to engage in sexual activities"
"dig a hole","16","to interact with objects"
"move something around","16","to interact with objects"
"use a power washer","7",""
"cook with an electric burner","0","to use fire"
"do dishes","32","to cook"
"tap your foot impatiently","14","to use your hands"
"say the days of the week","26","to perform tasks"
"have a picnic","25","to serve food"
"sleeping on the floor","27","to lie on the floor"
"put up a flag","34","to engage with the art community"
"talk about religion or politics","42","to discuss"
"add an ingredient","32","to cook"
"fly the flag of your country","34","to engage with the art community"
"laughing","29","to engage in humorous activities"
"bring your school books","28","to bring items"
"lead prayer services","8","to participate in religious practices"
"wear a watch","22","to wear"
"listen to music loudly","13",""
"do a kick in the air","45","to dance"
"dive in","5","to be in water"
"take a photo","19","to take photos"
"walking in without an appointment","33","to enter spaces"
"knock over displays","43","to engage in store operations"
"do someone's laundry","6","to manage clothing"
"wear a corset","22","to wear"
"eat the merchandise","31","to eat"
"use a forklift to move heavy items","16","to interact with objects"
"prepare sales reports","26","to perform tasks"
"wear a safety harness","22","to wear"
"dress provocatively","22","to wear"
"ask questions","12","to ask for something"
"chase a butterfly","10","to move around"
"eat berries","31","to eat"
"carry heavy objects","28","to bring items"
"go to the bathroom","5","to be in water"
"shoot at someone's head","44","to touch someone"
"loudly grunt or moan","39","to make loud noises"
"wash dishes","24","to clean"
"make a cake","32","to cook"
"play video games","18","to play"
"develop the film","26","to perform tasks"
"ask for the time","12","to ask for something"
"stay out late","46","to be in the dark"
"wear dirty clothes","6","to manage clothing"
"teach someone how to ski","44","to touch someone"
"meditat","8","to participate in religious practices"
"file a complaint","9","to express negative emotions"
"speak in a loud voice","39","to make loud noises"
"have loud conversations","39","to make loud noises"
"wear a t-shirt with the argentine flag","22","to wear"
"sell food","25","to serve food"
"start a family","41","to care for children"
"sell food and drinks","1","to consume beverages"
"have a dance party","45","to dance"
"provide counseling","15","to interact with others"
"stay after closing time","11","to leave"
"smoke","0","to use fire"
"defecate","17","to engage in sexual activities"
"walk around aimlessly","10","to move around"
"talk badly about other people","49","to interact"
"play fetch with a dog","35","to interact with animals"
"cheer loudly","39","to make loud noises"
"travel at night","46","to be in the dark"
"wear a cross","22","to wear"
"play in the dirt","18","to play"
"sell a camera","19","to take photos"
"move furniture","16","to interact with objects"
"watch a romantic relationship portrayed on screen","17","to engage in sexual activities"
"wear open-toed shoes","22","to wear"
"write a book","26","to perform tasks"
"pick up broken glass","16","to interact with objects"
"carry a purse","28","to bring items"
"listen to religious music","13",""
"wander around aimlessly","10","to move around"
"catch the ball","18","to play"
"shoot a free throw","18","to play"
"put your elbows on the table","20","to sit"
"write your name on the back of your jersey","26","to perform tasks"
"touch your toes","14","to use your hands"
"make a sandwich with wheat bread","31","to eat"
"do a layup","18","to play"
"ask for someone's phone number","12","to ask for something"
"play games on your phone","48","to use a phone"
"ask to take a picture of someone","19","to take photos"
"avoid eye contact with someone","38","to look"
"use a guide dog","35","to interact with animals"
"smoking marijuana","0","to use fire"
"ask for flexible hours","15","to interact with others"
"pull weeds","21","to care for plants"
"eat with your feet","31","to eat"
"dip your partner","17","to engage in sexual activities"
"fly near trees","21","to care for plants"
"cook food","32","to cook"
"eat","31","to eat"
"prepare food","32","to cook"
"attend a class","15","to interact with others"
"ask another player out on a date","12","to ask for something"
"beat an animal","35","to interact with animals"
"get up and walk around","10","to move around"
"kiss the cross","8","to participate in religious practices"
"go inside the cages with the animals","35","to interact with animals"
"eat a messy food","25","to serve food"
"smoke a cigar","0","to use fire"
"ask for a drink of water","1","to consume beverages"
"boo the rodeo clown","9","to express negative emotions"
"play with a ouija board","16","to interact with objects"
